"MacroTrends Data Download"
"LCID - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-09-18,10.2500,10.2500,9.8200,9.8900,564328
2020-09-21,9.9000,9.9600,9.8600,9.8600,762759
2020-09-22,9.9600,9.9600,9.8500,9.8800,1280789
2020-09-23,9.9000,9.9050,9.7901,9.8500,192570
2020-09-24,9.8500,9.8500,9.7500,9.7700,605537
2020-09-25,9.7700,9.8500,9.7700,9.8100,692465
2020-09-28,9.9000,9.9400,9.8300,9.8300,72302
2020-09-29,9.8800,9.8800,9.7600,9.7800,188566
2020-09-30,9.8500,9.8500,9.7700,9.7800,543995
2020-10-01,9.8500,9.8500,9.7400,9.7599,1068527
2020-10-02,9.7300,9.8000,9.7300,9.7400,3925623
2020-10-05,9.8000,9.8000,9.6900,9.7100,3147763
2020-10-06,9.7400,9.7500,9.6700,9.6800,1902445
2020-10-07,9.7200,9.7500,9.6700,9.7100,1325322
2020-10-08,9.7000,9.7500,9.7000,9.7166,550328
2020-10-09,9.7600,9.7700,9.7216,9.7500,2400141
2020-10-12,9.8200,9.8200,9.7300,9.7300,172260
2020-10-13,9.8500,9.8500,9.6700,9.7000,1623874
2020-10-14,9.7500,9.7699,9.6800,9.6800,2177911
2020-10-15,9.6700,9.7200,9.6501,9.6800,347982
2020-10-16,9.6900,9.7050,9.6700,9.6800,304783
2020-10-19,9.7100,9.7300,9.6765,9.6800,348389
2020-10-20,9.7100,9.7400,9.6700,9.6700,77913
2020-10-21,9.7300,9.7300,9.6500,9.6600,292303
2020-10-22,9.6600,9.6700,9.6300,9.6500,1441881
2020-10-23,9.6500,9.7000,9.6300,9.6300,2067550
2020-10-26,9.6500,9.6600,9.6400,9.6500,2393717
2020-10-27,9.6500,9.7000,9.6400,9.6500,304143
2020-10-28,9.7400,9.7400,9.6300,9.6500,1571444
2020-10-29,9.6600,9.7000,9.6200,9.6500,1652768
2020-10-30,9.6500,9.6900,9.6000,9.6300,1154338
2020-11-02,9.6300,9.6400,9.6000,9.6300,716681
2020-11-03,9.6300,9.7000,9.6200,9.6900,189840
2020-11-04,9.7000,9.7300,9.6800,9.6900,507872
2020-11-05,9.7600,9.7800,9.7300,9.7700,1534152
2020-11-06,9.7900,9.7900,9.7200,9.7200,1443518
2020-11-09,9.7000,9.7250,9.6600,9.6700,163174
2020-11-10,9.6600,9.8000,9.6600,9.7000,714714
2020-11-11,9.6900,9.7395,9.6600,9.6800,724462
2020-11-12,9.6700,9.7200,9.6700,9.7000,1501934
2020-11-13,9.7400,9.7400,9.6900,9.6900,754783
2020-11-16,9.7000,9.7300,9.6850,9.7000,151275
2020-11-17,9.7200,9.7200,9.6900,9.7100,46038
2020-11-18,9.7400,9.7400,9.6700,9.7400,301141
2020-11-19,9.7500,9.8000,9.7000,9.7200,44545
2020-11-20,9.7100,9.7350,9.6900,9.7100,995889
