Date,Close/Last,Volume,Open,High,Low
02/12/2024,$722.48,61371020,$726.00,$746.11,$712.50
02/09/2024,$721.33,43663690,$705.33,$721.85,$702.12
02/08/2024,$696.41,41442210,$700.74,$707.94,$694.55
02/07/2024,$700.99,49557460,$683.19,$702.20,$676.00
02/06/2024,$682.23,68311140,$696.30,$697.5399,$663.00
02/05/2024,$693.32,68007800,$682.25,$694.97,$672.05
02/02/2024,$661.60,47657770,$639.74,$666.00,$636.90
02/01/2024,$630.27,36914580,$621.00,$631.91,$616.50
01/31/2024,$615.27,45379490,$614.40,$622.6902,$607.00
01/30/2024,$627.74,41073530,$629.00,$634.93,$622.60
01/29/2024,$624.65,34873300,$612.32,$624.89,$609.07
01/26/2024,$610.31,39030860,$609.60,$617.83,$605.73
01/25/2024,$616.17,48277680,$623.50,$627.19,$608.50
01/24/2024,$613.62,56027080,$603.04,$628.49,$599.38
01/23/2024,$598.73,29465450,$595.70,$599.10,$585.85
01/22/2024,$596.54,45295460,$600.49,$603.31,$590.70
01/19/2024,$594.91,54350150,$579.89,$595.00,$572.25
01/18/2024,$571.07,49165040,$572.60,$576.00,$561.07
01/17/2024,$560.53,47439440,$563.47,$564.7068,$547.40
01/16/2024,$563.82,44957970,$550.18,$568.3499,$549.00
01/12/2024,$547.10,35299360,$546.20,$549.70,$543.3008
01/11/2024,$548.22,59675880,$549.99,$553.46,$535.60
01/10/2024,$543.50,53379580,$536.16,$546.00,$534.89
01/09/2024,$531.40,77310010,$524.01,$543.25,$516.90
01/08/2024,$522.53,64250990,$495.12,$522.75,$494.79
01/05/2024,$490.97,41503930,$484.62,$495.47,$483.0601
01/04/2024,$479.98,30653490,$477.67,$485.00,$475.08
01/03/2024,$475.69,32089620,$474.85,$481.841,$473.20
01/02/2024,$481.68,41125420,$492.44,$492.95,$475.95
12/29/2023,$495.22,38929330,$498.13,$499.97,$487.51
12/28/2023,$495.22,24658750,$496.43,$498.8399,$494.12
12/27/2023,$494.17,23364800,$495.11,$496.80,$490.85
12/26/2023,$492.79,24419950,$489.68,$496.00,$489.60
